category,datetime,headline,id,image,related,source,summary,url
company,1769015220,C.H. Robinson Worldwide Inc. stock underperforms Wednesday when compared to competitors despite daily gains,138219379,,CHRW,MarketWatch,C.H. Robinson Worldwide Inc. stock underperforms Wednesday when compared to competitors despite daily gains,https://finnhub.io/api/news?id=fc20d30c7678a411dc745d4b5ffcd933957902816ed968143d6a5fb74977d897
company,1769007612,C.H. Robinson Worldwide (CHRW) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,138196229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CHRW,Yahoo,C.H. Robinson (CHRW) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=3c4ee2f3d686013e86324914e105897f20adca1bb71acf5c5907d385f670b80c
